AAPL
MSFT
AMZN
NVDA
GOOGL
GOOG
BRK-B
TSLA
META
UNH
XOM
JNJ
JPM
V
PG
MA
HD
CVX
ABBV
MRK
AVGO
LLY
PEP
KO
PFE
TMO
COST
CSCO
BAC
MCD
WMT
CRM
DIS
ABT
ADBE
LIN
DHR
ACN
TXN
VZ
NKE
CMCSA
AMD
NEE
PM
WFC
RTX
BMY
QCOM
UPS
NFLX
ORCL
T
HON
AMGN
COP
LOW
INTU
INTC
CAT
UNP
MS
SBUX
BA
IBM
SPGI
ELV
PLD
DE
MDT
LMT
GS
AMAT
GE
BKNG
BLK
GILD
AXP
CVS
ADI
SYK
MDLZ
AMT
SCHW
NOW
ADP
TJX
C
PYPL
ISRG
TMUS
MO
CI
PGR
REGN
CB
MMC
VRTX
ZTS
TGT
SO
DUK
FISV
BSX
SLB
LRCX
BDX
ETN
CME
ITW
NOC
MU
EOG
EQIX
AON
HUM
APD
CSX
CL
MPC
WM
MMM
SNPS
CDNS
ATVI
CCI
ICE
EL
HCA
FCX
KLAC
PNC
USB
SHW
ORLY
FDX
VLO
EW
MRNA
GD
GM
EMR
GIS
MCK
DG
NSC
NXPI
MCO
APH
PXD
PSA
F
DXCM
SRE
AEP
ROP
MSI
MCHP
D
MAR
CMG
AZO
ADSK
TFC
PSX
MSCI
OXY
KMB
ADM
TT
PH
CTVA
ANET
IDXX
JCI
A
FTNT
EXC
TEL
TRV
MNST
ECL
AJG
MET
NUE
BIIB
O
CTAS
SYY
AIG
CARR
LHX
HLT
PCAR
TDG
CHTR
NEM
DOW
AFL
IQV
ROST
YUM
COF
CNC
XEL
HSY
SPG
WMB
PAYX
ON
STZ
HES
ILMN
OTIS
MTD
WBD
KMI
CMI
BK
ED
WELL
ROK
AME
AMP
DVN
DD
VICI
FIS
RMD
KR
GWW
CTSH
CPRT
ODFL
FAST
PRU
DHI
EA
KHC
APTV
ALL
KDP
DLTR
PPG
PEG
VRSK
HAL
WEC
ENPH
KEYS
BKR
DLR
GEHC
OKE
CSGP
URI
SBAC
ANSS
GPN
AWK
STT
ZBH
RSG
ULTA
CDW
DFS
LEN
ES
ALB
TSCO
EIX
PCG
GLW
ABC
CEG
WTW
ACGL
EFX
WST
TROW
HPQ
IT
WBA
FANG
ALGN
CBRE
EBAY
GPC
FTV
PWR
PODD
IR
AVB
LYB
MPWR
HIG
VMC
WY
DAL
AEE
MTB
IFF
FE
EXR
ETR
MLM
FSLR
CHD
DTE
BAX
DOV
TDY
HOLX
PPL
LH
EQR
ARE
CLX
CTRA
HPE
CAH
TTWO
FITB
VRSN
SWKS
DRI
STLD
LUV
WAT
RJF
OMC
STE
NDAQ
MKC
NTRS
LVS
CNP
RF
XYL
WAB
CINF
VTR
FICO
CMS
INVH
COO
CAG
PFG
TSN
EXPD
MAA
IEX
K
TER
SEDG
NVR
BALL
SJM
AMCR
CFG
BR
HBAN
FDS
EPAM
TRGP
PKI
ATO
BBY
FLT
DGX
MOS
MOH
AES
FMC
ZBRA
GRMN
HWM
IRM
J
CF
BG
MRO
TXT
UAL
MKTX
EXPE
LW
JBHT
ETSY
AVY
LKQ
NTAP
RE
RCL
IPG
TYL
INCY
MGM
EVRG
POOL
CBOE
PAYC
ESS
BRO
SYF
LNT
PHM
PTC
SNA
WRB
IP
LDOS
PKG
TRMB
STX
CTLT
UDR
AKAM
KEY
VTRS
SWK
TECH
MAS
TFX
PEAK
APA
CHRW
DPZ
HST
WDC
WYNN
EQT
CPT
BF-B
NDSN
BWA
KIM
HRL
JKHY
CPB
L
HSIC
NI
CDAY
MTCH
PARA
CE
QRVO
JNPR
FOXA
BIO
CRL
TPR
GL
LYV
GEN
EMN
TAP
KMX
ALLE
CZR
AAL
CCL
REG
PNW
PNR
FFIV
AOS
ROL
RHI
HII
XRAY
BBWI
UHS
NRG
BEN
BXP
IVZ
WRK
AAP
GNRC
VFC
WHR
FRT
SEE
CMA
HAS
NWSA
AIZ
OGN
DXC
NCLH
MHK
ALK
ZION
RL
NWL
DVA
FOX
LNC
DISH
NWS
