110,ITW,Illinois Tool Works Inc.,1,itw,,7
111,NOC,Northrop Grumman Corp.,1,noc,,6
112,MU,Micron Technology Inc.,1,mu,,6
113,EOG,EOG Resources Inc.,1,eog,,5
114,EQIX,Equinix Inc.,1,eqix,,5
115,AON,Aon Plc Class A,1,aon,,7
116,HUM,Humana Inc.,1,hum,,6
117,APD,Air Products and Chemicals Inc.,1,apd,,1
118,CSX,CSX Corporation,1,csx,,4
119,CL,Colgate-Palmolive Company,1,cl,,7
120,MPC,Marathon Petroleum Corporation,1,mpc,,6
121,WM,Waste Management Inc.,1,wm,,5
122,MMM,3M Company,1,mmm,,2
123,SNPS,Synopsys Inc.,1,snps,,8
124,CDNS,Cadence Design Systems Inc.,1,cdns,,1
125,ATVI,Activision Blizzard Inc.,1,atvi,,8
126,CCI,Crown Castle Inc.,1,cci,,2
127,ICE,Intercontinental Exchange Inc.,1,ice,,7
128,EL,Estee Lauder Companies Inc. Class A,1,el,,6
129,HCA,HCA Healthcare Inc,1,hca,,5
130,FCX,Freeport-McMoRan Inc.,1,fcx,,4
131,KLAC,KLA Corporation,1,klac,,9
132,PNC,PNC Financial Services Group Inc.,1,pnc,,9
133,USB,U.S. Bancorp,1,usb,,3
134,SHW,Sherwin-Williams Company,1,shw,,12
135,ORLY,O'Reilly Automotive Inc.,1,orly,,6
136,FDX,FedEx Corporation,1,fdx,,5
137,VLO,Valero Energy Corporation,1,vlo,,9
138,EW,Edwards Lifesciences Corporation,1,ew,,5
139,MRNA,Moderna Inc.,1,mrna,,12
140,GD,General Dynamics Corporation,1,gd,,2
141,GM,General Motors Company,1,gm,,3
142,EMR,Emerson Electric Co.,1,emr,,4
143,GIS,General Mills Inc.,1,gis,,12
144,MCK,McKesson Corporation,1,mck,,2
145,DG,Dollar General Corporation,1,dg,,2
146,NSC,Norfolk Southern Corporation,1,nsc,,6
147,NXPI,NXP Semiconductors NV,1,nxpi,,12
148,MCO,Moody's Corporation,1,mco,,1
149,APH,Amphenol Corporation Class A,1,aph,,7
150,PXD,Pioneer Natural Resources Company,1,pxd,,5
151,PSA,Public Storage,1,psa,,12
152,F,Ford Motor Company,1,f,,6
153,DXCM,DexCom Inc.,1,dxcm,,12
154,SRE,Sempra Energy,1,sre,,9
155,AEP,American Electric Power Company Inc.,1,aep,,7
156,ROP,Roper Technologies Inc.,1,rop,,4
157,MSI,Motorola Solutions Inc.,1,msi,,1
